,acousticness,analysis_url,danceability,duration_ms,energy,id,indicator,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
10,0.253,https://api.spotify.com/v1/audio-analysis/3o1CUVeHIid49sabk6A6Nf,0.529,193847,0.612,3o1CUVeHIid49sabk6A6Nf,1.0,0.0,10,0.246,-8.794,1,0.052,119.272,4,https://api.spotify.com/v1/tracks/3o1CUVeHIid49sabk6A6Nf,audio_features,spotify:track:3o1CUVeHIid49sabk6A6Nf,0.434
11,0.0038,https://api.spotify.com/v1/audio-analysis/4h8VwCb1MTGoLKueQ1WgbD,0.532,247427,0.783,4h8VwCb1MTGoLKueQ1WgbD,1.0,0.0012,2,0.161,-5.697,1,0.0523,124.08,4,https://api.spotify.com/v1/tracks/4h8VwCb1MTGoLKueQ1WgbD,audio_features,spotify:track:4h8VwCb1MTGoLKueQ1WgbD,0.643
12,0.272,https://api.spotify.com/v1/audio-analysis/2x0RZdkZcD8QRI53XT4GI5,0.802,157202,0.645,2x0RZdkZcD8QRI53XT4GI5,1.0,0.0,5,0.119,-6.181,0,0.0715,100.001,4,https://api.spotify.com/v1/tracks/2x0RZdkZcD8QRI53XT4GI5,audio_features,spotify:track:2x0RZdkZcD8QRI53XT4GI5,0.376
13,0.0715,https://api.spotify.com/v1/audio-analysis/0vrmHPfoBadXVr2n0m1aqZ,0.592,277262,0.873,0vrmHPfoBadXVr2n0m1aqZ,1.0,0.00982,9,0.142,-5.65,1,0.0275,122.011,4,https://api.spotify.com/v1/tracks/0vrmHPfoBadXVr2n0m1aqZ,audio_features,spotify:track:0vrmHPfoBadXVr2n0m1aqZ,0.516
14,0.00163,https://api.spotify.com/v1/audio-analysis/6Pgkp4qUoTmJIPn7ReaGxL,0.662,181673,0.858,6Pgkp4qUoTmJIPn7ReaGxL,1.0,0.0,2,0.0456,-4.844,1,0.0428,133.993,4,https://api.spotify.com/v1/tracks/6Pgkp4qUoTmJIPn7ReaGxL,audio_features,spotify:track:6Pgkp4qUoTmJIPn7ReaGxL,0.295
15,0.0166,https://api.spotify.com/v1/audio-analysis/0ct6r3EGTcMLPtrXHDvVjc,0.527,176658,0.835,0ct6r3EGTcMLPtrXHDvVjc,1.0,0.0,6,0.249,-5.298,1,0.0433,125.983,4,https://api.spotify.com/v1/tracks/0ct6r3EGTcMLPtrXHDvVjc,audio_features,spotify:track:0ct6r3EGTcMLPtrXHDvVjc,0.654
16,0.31,https://api.spotify.com/v1/audio-analysis/2P4OICZRVAQcYAV2JReRfj,0.579,230613,0.736,2P4OICZRVAQcYAV2JReRfj,1.0,0.0,6,0.198,-3.863,0,0.0527,127.999,4,https://api.spotify.com/v1/tracks/2P4OICZRVAQcYAV2JReRfj,audio_features,spotify:track:2P4OICZRVAQcYAV2JReRfj,0.613
17,0.0309,https://api.spotify.com/v1/audio-analysis/4RXpgGM7A4Hg7cFBoH5KyF,0.545,255093,0.78,4RXpgGM7A4Hg7cFBoH5KyF,1.0,4.64e-05,7,0.0828,-4.867,0,0.0436,125.014,4,https://api.spotify.com/v1/tracks/4RXpgGM7A4Hg7cFBoH5KyF,audio_features,spotify:track:4RXpgGM7A4Hg7cFBoH5KyF,0.458
18,0.047,https://api.spotify.com/v1/audio-analysis/4MVjhujg0nKKoFVf6s0k8L,0.584,199907,0.89,4MVjhujg0nKKoFVf6s0k8L,1.0,0.814,1,0.309,-5.941,0,0.0343,126.04,4,https://api.spotify.com/v1/tracks/4MVjhujg0nKKoFVf6s0k8L,audio_features,spotify:track:4MVjhujg0nKKoFVf6s0k8L,0.466
19,0.134,https://api.spotify.com/v1/audio-analysis/75NhhYjHO43mvZgYtnXgti,0.655,181812,0.666,75NhhYjHO43mvZgYtnXgti,1.0,2.12e-05,5,0.0683,-5.309,1,0.0612,102.977,4,https://api.spotify.com/v1/tracks/75NhhYjHO43mvZgYtnXgti,audio_features,spotify:track:75NhhYjHO43mvZgYtnXgti,0.272
0,0.0426,https://api.spotify.com/v1/audio-analysis/2Foc5Q5nqNiosCNqttzHof,0.794,248413,0.811,2Foc5Q5nqNiosCNqttzHof,1.0,1.07e-06,6,0.101,-8.966,0,0.038,116.047,4,https://api.spotify.com/v1/tracks/2Foc5Q5nqNiosCNqttzHof,audio_features,spotify:track:2Foc5Q5nqNiosCNqttzHof,0.862
1,0.0422,https://api.spotify.com/v1/audio-analysis/2cGxRwrMyEAp8dEbuZaVv6,0.775,337560,0.585,2cGxRwrMyEAp8dEbuZaVv6,1.0,0.619,10,0.077,-9.516,0,0.0271,109.942,4,https://api.spotify.com/v1/tracks/2cGxRwrMyEAp8dEbuZaVv6,audio_features,spotify:track:2cGxRwrMyEAp8dEbuZaVv6,0.518
2,0.0193,https://api.spotify.com/v1/audio-analysis/0DiWol3AO6WpXZgp0goxAV,0.611,320357,0.697,0DiWol3AO6WpXZgp0goxAV,1.0,0.0,2,0.332,-8.618,1,0.133,122.752,4,https://api.spotify.com/v1/tracks/0DiWol3AO6WpXZgp0goxAV,audio_features,spotify:track:0DiWol3AO6WpXZgp0goxAV,0.476
3,0.0378,https://api.spotify.com/v1/audio-analysis/69kOkLUCkxIZYexIgSG8rq,0.81,369627,0.793,69kOkLUCkxIZYexIgSG8rq,1.0,1.82e-06,6,0.072,-9.404,0,0.0403,116.049,4,https://api.spotify.com/v1/tracks/69kOkLUCkxIZYexIgSG8rq,audio_features,spotify:track:69kOkLUCkxIZYexIgSG8rq,0.863
4,0.0839,https://api.spotify.com/v1/audio-analysis/5CMjjywI0eZMixPeqNd75R,0.832,353893,0.659,5CMjjywI0eZMixPeqNd75R,1.0,0.00114,10,0.0753,-7.828,0,0.057,100.163,4,https://api.spotify.com/v1/tracks/5CMjjywI0eZMixPeqNd75R,audio_features,spotify:track:5CMjjywI0eZMixPeqNd75R,0.674
5,0.0427,https://api.spotify.com/v1/audio-analysis/5W3cjX2J3tjhG8zb6u0qHn,0.817,224693,0.716,5W3cjX2J3tjhG8zb6u0qHn,1.0,0.00263,6,0.358,-8.898,0,0.144,123.475,4,https://api.spotify.com/v1/tracks/5W3cjX2J3tjhG8zb6u0qHn,audio_features,spotify:track:5W3cjX2J3tjhG8zb6u0qHn,0.692
6,0.00356,https://api.spotify.com/v1/audio-analysis/1pKYYY0dkg23sQQXi0Q5zN,0.956,429533,0.795,1pKYYY0dkg23sQQXi0Q5zN,1.0,0.889,7,0.0906,-5.311,1,0.15,121.294,4,https://api.spotify.com/v1/tracks/1pKYYY0dkg23sQQXi0Q5zN,audio_features,spotify:track:1pKYYY0dkg23sQQXi0Q5zN,0.841
7,0.44,https://api.spotify.com/v1/audio-analysis/1NeLwFETswx8Fzxl2AFl91,0.875,232667,0.475,1NeLwFETswx8Fzxl2AFl91,1.0,0.72,9,0.046,-12.673,0,0.0986,99.958,4,https://api.spotify.com/v1/tracks/1NeLwFETswx8Fzxl2AFl91,audio_features,spotify:track:1NeLwFETswx8Fzxl2AFl91,0.384
8,0.388,https://api.spotify.com/v1/audio-analysis/36c4JohayB9qd64eidQMBi,0.804,251293,0.451,36c4JohayB9qd64eidQMBi,1.0,2.17e-05,6,0.0924,-8.207,1,0.0949,178.061,4,https://api.spotify.com/v1/tracks/36c4JohayB9qd64eidQMBi,audio_features,spotify:track:36c4JohayB9qd64eidQMBi,0.19
9,0.0481,https://api.spotify.com/v1/audio-analysis/2VEZx7NWsZ1D0eJ4uv5Fym,0.644,301373,0.664,2VEZx7NWsZ1D0eJ4uv5Fym,1.0,0.862,9,0.342,-8.398,1,0.0333,124.726,4,https://api.spotify.com/v1/tracks/2VEZx7NWsZ1D0eJ4uv5Fym,audio_features,spotify:track:2VEZx7NWsZ1D0eJ4uv5Fym,0.53
10,0.0622,https://api.spotify.com/v1/audio-analysis/0pqnGHJpmpxLKifKRmU6WP,0.776,204347,0.78,0pqnGHJpmpxLKifKRmU6WP,1.0,0.0,10,0.081,-4.374,0,0.128,124.949,4,https://api.spotify.com/v1/tracks/0pqnGHJpmpxLKifKRmU6WP,audio_features,spotify:track:0pqnGHJpmpxLKifKRmU6WP,0.666
11,0.00671,https://api.spotify.com/v1/audio-analysis/1zB4vmk8tFRmM9UULNzbLB,0.605,187147,0.822,1zB4vmk8tFRmM9UULNzbLB,1.0,0.134,0,0.147,-4.833,1,0.0438,167.997,4,https://api.spotify.com/v1/tracks/1zB4vmk8tFRmM9UULNzbLB,audio_features,spotify:track:1zB4vmk8tFRmM9UULNzbLB,0.288
12,0.0722,https://api.spotify.com/v1/audio-analysis/2RSHsoi04658QL5xgQVov3,0.383,260773,0.637,2RSHsoi04658QL5xgQVov3,1.0,0.0,3,0.368,-6.993,1,0.0703,177.913,4,https://api.spotify.com/v1/tracks/2RSHsoi04658QL5xgQVov3,audio_features,spotify:track:2RSHsoi04658QL5xgQVov3,0.0827
13,0.217,https://api.spotify.com/v1/audio-analysis/2FY7b99s15jUprqC0M5NCT,0.704,189467,0.611,2FY7b99s15jUprqC0M5NCT,1.0,0.0,2,0.0812,-6.112,1,0.0409,100.0,4,https://api.spotify.com/v1/tracks/2FY7b99s15jUprqC0M5NCT,audio_features,spotify:track:2FY7b99s15jUprqC0M5NCT,0.22
14,0.0362,https://api.spotify.com/v1/audio-analysis/6Qn5zhYkTa37e91HC1D7lb,0.672,201240,0.655,6Qn5zhYkTa37e91HC1D7lb,1.0,0.0,10,0.117,-5.021,0,0.0311,134.945,4,https://api.spotify.com/v1/tracks/6Qn5zhYkTa37e91HC1D7lb,audio_features,spotify:track:6Qn5zhYkTa37e91HC1D7lb,0.556
15,0.19,https://api.spotify.com/v1/audio-analysis/3LlAyCYU26dvFZBDUIMb7a,0.505,175200,0.71,3LlAyCYU26dvFZBDUIMb7a,1.0,0.00025,3,0.329,-3.015,1,0.0321,89.938,4,https://api.spotify.com/v1/tracks/3LlAyCYU26dvFZBDUIMb7a,audio_features,spotify:track:3LlAyCYU26dvFZBDUIMb7a,0.428
16,0.106,https://api.spotify.com/v1/audio-analysis/4G8gkOterJn0Ywt6uhqbhp,0.448,186813,0.784,4G8gkOterJn0Ywt6uhqbhp,1.0,0.000108,9,0.668,-3.686,1,0.0627,136.245,4,https://api.spotify.com/v1/tracks/4G8gkOterJn0Ywt6uhqbhp,audio_features,spotify:track:4G8gkOterJn0Ywt6uhqbhp,0.236
17,0.255,https://api.spotify.com/v1/audio-analysis/4dASQiO1Eoo3RJvt74FtXB,0.502,243491,0.786,4dASQiO1Eoo3RJvt74FtXB,1.0,0.0,9,0.65,-4.378,0,0.317,169.021,4,https://api.spotify.com/v1/tracks/4dASQiO1Eoo3RJvt74FtXB,audio_features,spotify:track:4dASQiO1Eoo3RJvt74FtXB,0.739
18,0.0146,https://api.spotify.com/v1/audio-analysis/6Tvzf3VEi16JMhAgOwdt2y,0.649,219440,0.517,6Tvzf3VEi16JMhAgOwdt2y,1.0,1.63e-06,1,0.145,-7.428,0,0.0297,119.997,4,https://api.spotify.com/v1/tracks/6Tvzf3VEi16JMhAgOwdt2y,audio_features,spotify:track:6Tvzf3VEi16JMhAgOwdt2y,0.35
19,0.3,https://api.spotify.com/v1/audio-analysis/0WVAQaxrT0wsGEG4BCVSn2,0.688,193321,0.688,0WVAQaxrT0wsGEG4BCVSn2,1.0,0.0,3,0.0982,-5.84,1,0.0357,114.011,4,https://api.spotify.com/v1/tracks/0WVAQaxrT0wsGEG4BCVSn2,audio_features,spotify:track:0WVAQaxrT0wsGEG4BCVSn2,0.451
0,0.0295,https://api.spotify.com/v1/audio-analysis/2igwFfvr1OAGX9SKDCPBwO,0.491,276920,0.956,2igwFfvr1OAGX9SKDCPBwO,1.0,0.0,11,0.46,-1.538,1,0.392,173.585,4,https://api.spotify.com/v1/tracks/2igwFfvr1OAGX9SKDCPBwO,audio_features,spotify:track:2igwFfvr1OAGX9SKDCPBwO,0.811
1,0.127,https://api.spotify.com/v1/audio-analysis/4Li2WHPkuyCdtmokzW2007,0.788,219333,0.859,4Li2WHPkuyCdtmokzW2007,1.0,0.0,1,0.348,-5.542,1,0.315,140.027,4,https://api.spotify.com/v1/tracks/4Li2WHPkuyCdtmokzW2007,audio_features,spotify:track:4Li2WHPkuyCdtmokzW2007,0.769
2,0.0603,https://api.spotify.com/v1/audio-analysis/5sNESr6pQfIhL3krM8CtZn,0.687,205733,0.793,5sNESr6pQfIhL3krM8CtZn,1.0,0.0,2,0.582,-4.254,1,0.166,107.045,4,https://api.spotify.com/v1/tracks/5sNESr6pQfIhL3krM8CtZn,audio_features,spotify:track:5sNESr6pQfIhL3krM8CtZn,0.751
3,0.246,https://api.spotify.com/v1/audio-analysis/3Osd3Yf8K73aj4ySn6LrvK,0.654,272507,0.751,3Osd3Yf8K73aj4ySn6LrvK,1.0,0.0179,8,0.167,-7.508,0,0.105,92.781,4,https://api.spotify.com/v1/tracks/3Osd3Yf8K73aj4ySn6LrvK,audio_features,spotify:track:3Osd3Yf8K73aj4ySn6LrvK,0.568
4,0.281,https://api.spotify.com/v1/audio-analysis/7LR85XLWw2yXqKBSI5brbG,0.632,267520,0.924,7LR85XLWw2yXqKBSI5brbG,1.0,0.0,1,0.263,-1.802,1,0.29,86.844,4,https://api.spotify.com/v1/tracks/7LR85XLWw2yXqKBSI5brbG,audio_features,spotify:track:7LR85XLWw2yXqKBSI5brbG,0.441
5,0.097,https://api.spotify.com/v1/audio-analysis/2AYTGaclgKXACh13nJRVcV,0.564,284831,0.717,2AYTGaclgKXACh13nJRVcV,1.0,0.0,10,0.493,-6.403,0,0.397,117.489,5,https://api.spotify.com/v1/tracks/2AYTGaclgKXACh13nJRVcV,audio_features,spotify:track:2AYTGaclgKXACh13nJRVcV,0.423
6,0.552,https://api.spotify.com/v1/audio-analysis/6vegnfDS8DAEaCqWaPYGPy,0.755,178213,0.631,6vegnfDS8DAEaCqWaPYGPy,1.0,0.0,7,0.5,-4.751,0,0.302,94.571,4,https://api.spotify.com/v1/tracks/6vegnfDS8DAEaCqWaPYGPy,audio_features,spotify:track:6vegnfDS8DAEaCqWaPYGPy,0.433
7,0.283,https://api.spotify.com/v1/audio-analysis/6JpN5w95em8SODPiM7W2PH,0.741,231760,0.718,6JpN5w95em8SODPiM7W2PH,1.0,2.21e-06,7,0.23,-5.823,1,0.415,165.848,4,https://api.spotify.com/v1/tracks/6JpN5w95em8SODPiM7W2PH,audio_features,spotify:track:6JpN5w95em8SODPiM7W2PH,0.576
8,0.0957,https://api.spotify.com/v1/audio-analysis/5Tl0HJvynZtKdSUMKbFVVX,0.884,238467,0.679,5Tl0HJvynZtKdSUMKbFVVX,1.0,0.00209,10,0.0289,-5.857,0,0.282,76.993,4,https://api.spotify.com/v1/tracks/5Tl0HJvynZtKdSUMKbFVVX,audio_features,spotify:track:5Tl0HJvynZtKdSUMKbFVVX,0.591
9,0.0594,https://api.spotify.com/v1/audio-analysis/37jTPJgwCCmIGMPB45jrPV,0.675,338413,0.534,37jTPJgwCCmIGMPB45jrPV,1.0,8.59e-06,2,0.256,-6.901,0,0.0831,145.08,4,https://api.spotify.com/v1/tracks/37jTPJgwCCmIGMPB45jrPV,audio_features,spotify:track:37jTPJgwCCmIGMPB45jrPV,0.156
10,0.932,https://api.spotify.com/v1/audio-analysis/0nJW01T7XtvILxQgC5J7Wh,0.612,213827,0.28,0nJW01T7XtvILxQgC5J7Wh,1.0,0.0,0,0.088,-8.648,1,0.0434,72.795,4,https://api.spotify.com/v1/tracks/0nJW01T7XtvILxQgC5J7Wh,audio_features,spotify:track:0nJW01T7XtvILxQgC5J7Wh,0.387
11,0.013,https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU,0.853,206693,0.56,0KKkJNfGyhkQ5aFogxQAPU,1.0,0.0,1,0.0944,-4.961,1,0.0406,134.066,4,https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU,audio_features,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,0.86
12,0.0151,https://api.spotify.com/v1/audio-analysis/7BqBn9nzAq8spo5e7cZ0dJ,0.637,220733,0.843,7BqBn9nzAq8spo5e7cZ0dJ,1.0,0.0,5,0.0876,-5.413,1,0.0432,109.012,4,https://api.spotify.com/v1/tracks/7BqBn9nzAq8spo5e7cZ0dJ,audio_features,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,0.434
13,0.049,https://api.spotify.com/v1/audio-analysis/3w3y8KPTfNeOKPiqUTakBh,0.726,233478,0.698,3w3y8KPTfNeOKPiqUTakBh,1.0,0.0,5,0.309,-4.165,1,0.0431,143.994,4,https://api.spotify.com/v1/tracks/3w3y8KPTfNeOKPiqUTakBh,audio_features,spotify:track:3w3y8KPTfNeOKPiqUTakBh,0.867
14,0.0642,https://api.spotify.com/v1/audio-analysis/0PG9fbaaHFHfre2gUVo7AN,0.747,200890,0.57,0PG9fbaaHFHfre2gUVo7AN,1.0,0.0,1,0.0832,-6.711,1,0.081,133.992,4,https://api.spotify.com/v1/tracks/0PG9fbaaHFHfre2gUVo7AN,audio_features,spotify:track:0PG9fbaaHFHfre2gUVo7AN,0.65
15,0.034,https://api.spotify.com/v1/audio-analysis/6b8Be6ljOzmkOmFslEb23P,0.818,225983,0.803,6b8Be6ljOzmkOmFslEb23P,1.0,0.0,1,0.153,-4.282,1,0.0797,106.97,4,https://api.spotify.com/v1/tracks/6b8Be6ljOzmkOmFslEb23P,audio_features,spotify:track:6b8Be6ljOzmkOmFslEb23P,0.632
16,0.00381,https://api.spotify.com/v1/audio-analysis/2G1tXoGBaEMJ7FKGnkf6ud,0.8,203161,0.578,2G1tXoGBaEMJ7FKGnkf6ud,1.0,0.0,4,0.367,-5.144,0,0.0485,143.01,4,https://api.spotify.com/v1/tracks/2G1tXoGBaEMJ7FKGnkf6ud,audio_features,spotify:track:2G1tXoGBaEMJ7FKGnkf6ud,0.367
17,0.0185,https://api.spotify.com/v1/audio-analysis/3Vo4wInECJQuz9BIBMOu8i,0.704,217289,0.859,3Vo4wInECJQuz9BIBMOu8i,1.0,0.0,5,0.0215,-4.877,0,0.0996,105.115,4,https://api.spotify.com/v1/tracks/3Vo4wInECJQuz9BIBMOu8i,audio_features,spotify:track:3Vo4wInECJQuz9BIBMOu8i,0.926
18,0.0412,https://api.spotify.com/v1/audio-analysis/55h7vJchibLdUkxdlX3fK7,0.874,178560,0.692,55h7vJchibLdUkxdlX3fK7,1.0,7.24e-05,5,0.324,-5.28,0,0.0431,116.017,4,https://api.spotify.com/v1/tracks/55h7vJchibLdUkxdlX3fK7,audio_features,spotify:track:55h7vJchibLdUkxdlX3fK7,0.937
19,0.196,https://api.spotify.com/v1/audio-analysis/0kN8xEmgMW9mh7UmDYHlJP,0.578,261240,0.574,0kN8xEmgMW9mh7UmDYHlJP,1.0,0.0,2,0.083,-6.209,1,0.0454,174.152,4,https://api.spotify.com/v1/tracks/0kN8xEmgMW9mh7UmDYHlJP,audio_features,spotify:track:0kN8xEmgMW9mh7UmDYHlJP,0.301
0,0.727,https://api.spotify.com/v1/audio-analysis/75JFxkI2RXiU7L9VXzMkle,0.56,309600,0.442,75JFxkI2RXiU7L9VXzMkle,1.0,1.71e-05,5,0.11,-7.224,1,0.0243,146.448,4,https://api.spotify.com/v1/tracks/75JFxkI2RXiU7L9VXzMkle,audio_features,spotify:track:75JFxkI2RXiU7L9VXzMkle,0.212
1,0.0498,https://api.spotify.com/v1/audio-analysis/6RUKPb4LETWmmr3iAEQktW,0.617,247160,0.635,6RUKPb4LETWmmr3iAEQktW,1.0,1.44e-05,11,0.164,-6.769,0,0.0317,103.019,4,https://api.spotify.com/v1/tracks/6RUKPb4LETWmmr3iAEQktW,audio_features,spotify:track:6RUKPb4LETWmmr3iAEQktW,0.446
2,0.00239,https://api.spotify.com/v1/audio-analysis/3AJwUDP919kvQ9QcozQPxg,0.429,266773,0.661,3AJwUDP919kvQ9QcozQPxg,1.0,0.00013,11,0.234,-7.227,1,0.0281,173.365,4,https://api.spotify.com/v1/tracks/3AJwUDP919kvQ9QcozQPxg,audio_features,spotify:track:3AJwUDP919kvQ9QcozQPxg,0.285
3,0.163,https://api.spotify.com/v1/audio-analysis/7LVHVU3tWfcxj5aiPFEW4Q,0.209,295533,0.418,7LVHVU3tWfcxj5aiPFEW4Q,1.0,0.00195,3,0.113,-8.74,1,0.0338,138.265,4,https://api.spotify.com/v1/tracks/7LVHVU3tWfcxj5aiPFEW4Q,audio_features,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,0.123
4,0.0941,https://api.spotify.com/v1/audio-analysis/1mea3bSkSGXuIRvnydlB5b,0.485,242373,0.619,1mea3bSkSGXuIRvnydlB5b,1.0,3.31e-06,5,0.109,-7.115,0,0.0289,138.017,4,https://api.spotify.com/v1/tracks/1mea3bSkSGXuIRvnydlB5b,audio_features,spotify:track:1mea3bSkSGXuIRvnydlB5b,0.416
5,0.00713,https://api.spotify.com/v1/audio-analysis/0FDzzruyVECATHXKHFs9eJ,0.551,268467,0.636,0FDzzruyVECATHXKHFs9eJ,1.0,0.00203,6,0.217,-7.125,1,0.0281,124.996,4,https://api.spotify.com/v1/tracks/0FDzzruyVECATHXKHFs9eJ,audio_features,spotify:track:0FDzzruyVECATHXKHFs9eJ,0.153
6,0.0254,https://api.spotify.com/v1/audio-analysis/03T4ttRCiLXST6MZjeMwmR,0.503,197533,0.808,03T4ttRCiLXST6MZjeMwmR,1.0,0.00162,11,0.557,-5.051,0,0.045,107.975,4,https://api.spotify.com/v1/tracks/03T4ttRCiLXST6MZjeMwmR,audio_features,spotify:track:03T4ttRCiLXST6MZjeMwmR,0.283
7,0.0522,https://api.spotify.com/v1/audio-analysis/6nek1Nin9q48AVZcWs9e9D,0.449,278719,0.585,6nek1Nin9q48AVZcWs9e9D,1.0,8.49e-05,5,0.0833,-6.762,1,0.0268,139.627,4,https://api.spotify.com/v1/tracks/6nek1Nin9q48AVZcWs9e9D,audio_features,spotify:track:6nek1Nin9q48AVZcWs9e9D,0.203
8,0.255,https://api.spotify.com/v1/audio-analysis/3RiPr603aXAoi4GHyXx0uy,0.49,258827,0.743,3RiPr603aXAoi4GHyXx0uy,1.0,7.21e-06,0,0.3,-5.155,0,0.0409,89.974,4,https://api.spotify.com/v1/tracks/3RiPr603aXAoi4GHyXx0uy,audio_features,spotify:track:3RiPr603aXAoi4GHyXx0uy,0.363
9,0.599,https://api.spotify.com/v1/audio-analysis/0BCPKOYdS2jbQ8iyB56Zns,0.577,307880,0.749,0BCPKOYdS2jbQ8iyB56Zns,1.0,0.0112,5,0.183,-7.215,0,0.0279,130.969,4,https://api.spotify.com/v1/tracks/0BCPKOYdS2jbQ8iyB56Zns,audio_features,spotify:track:0BCPKOYdS2jbQ8iyB56Zns,0.261
10,0.037,https://api.spotify.com/v1/audio-analysis/7ef4DlsgrMEH11cDZd32M6,0.791,214847,0.862,7ef4DlsgrMEH11cDZd32M6,1.0,2.19e-05,9,0.0814,-3.24,0,0.11,123.994,4,https://api.spotify.com/v1/tracks/7ef4DlsgrMEH11cDZd32M6,audio_features,spotify:track:7ef4DlsgrMEH11cDZd32M6,0.592
11,0.0119,https://api.spotify.com/v1/audio-analysis/5N5k9nd479b1xpDZ4usjrg,0.781,213309,0.768,5N5k9nd479b1xpDZ4usjrg,1.0,4.91e-06,11,0.325,-5.991,1,0.0394,123.07,4,https://api.spotify.com/v1/tracks/5N5k9nd479b1xpDZ4usjrg,audio_features,spotify:track:5N5k9nd479b1xpDZ4usjrg,0.486
12,0.016,https://api.spotify.com/v1/audio-analysis/5itOtNx0WxtJmi1TQ3RuRd,0.807,229184,0.887,5itOtNx0WxtJmi1TQ3RuRd,1.0,0.000503,1,0.0811,-4.311,0,0.0361,122.015,4,https://api.spotify.com/v1/tracks/5itOtNx0WxtJmi1TQ3RuRd,audio_features,spotify:track:5itOtNx0WxtJmi1TQ3RuRd,0.606
